Source,Target,Weight
1,2,0.5477225575051662
1,3,0.47809144373375745
1,10,0.40451991747794525
1,14,0.44721359549995787
1,32,0.4338609156373123
1,65,0.40824829046386296
1,92,0.5477225575051662
1,93,0.39999999999999997
1,99,0.5163977794943223
1,320,0.47434164902525683
1,325,0.4472135954999579
1,326,0.5477225575051662
1,327,0.5477225575051662
1,328,0.44721359549995787
1,329,0.4472135954999579
1,339,0.4472135954999579
1,360,0.4601789933084222
1,368,0.39999999999999997
1,369,0.4472135954999579
1,374,0.47434164902525683
1,384,0.5070925528371099
1,386,0.4472135954999579
1,387,0.4338609156373123
1,388,0.39999999999999997
1,405,0.6324555320336758
1,407,0.6
1,484,0.5393598899705937
1,493,0.38729833462074176
1,495,0.5070925528371099
1,709,0.39999999999999997
1,768,0.4780914437337575
1,790,0.39999999999999997
1,794,0.4242640687119285
1,807,0.5070925528371099
1,828,0.4472135954999579
1,836,0.5163977794943223
1,930,0.39999999999999997
1,931,0.44721359549995787
1,933,0.4472135954999579
2,1,0.5477225575051662
2,14,0.5443310539518174
2,32,0.39605901719066977
2,65,0.37267799624996495
2,92,0.5000000000000001
2,99,0.4714045207910318
2,320,0.5773502691896258
2,325,0.4082482904638631
2,329,0.4082482904638631
2,339,0.4082482904638631
2,360,0.42008402520840293
2,369,0.4082482904638631
2,386,0.4082482904638631
2,405,0.5773502691896258
2,484,0.492365963917331
2,495,0.46291004988627577
2,545,0.4082482904638631
2,758,0.408248290463863
2,794,0.38729833462074176
2,807,0.46291004988627577
2,836,0.4714045207910318
2,931,0.408248290463863
2,933,0.4082482904638631
3,1,0.47809144373375745
3,5,0.40406101782088427
3,65,0.4879500364742666
3,68,0.4629100498862758
3,92,0.545544725589981
3,99,0.5400617248673217
3,283,0.3779644730092272
3,325,0.4008918628686366
3,326,0.43643578047198484
3,327,0.43643578047198484
3,328,0.44543540318737396
3,329,0.4008918628686366
3,330,0.3779644730092272
3,339,0.4008918628686366
3,347,0.4008918628686366
3,349,0.4629100498862758
3,359,0.3779644730092272
3,360,0.5041841733655161
3,364,0.3779644730092272
3,369,0.4008918628686366
3,374,0.3779644730092272
3,384,0.5050762722761053
3,386,0.4008918628686366
3,398,0.4629100498862758
3,405,0.5669467095138409
3,407,0.47809144373375745
3,412,0.37062465833055064
3,503,0.40406101782088427
3,593,0.4364357804719849
3,602,0.4285714285714286
3,605,0.4629100498862758
3,710,0.3779644730092272
3,722,0.4008918628686366
3,745,0.40406101782088427
3,807,0.40406101782088427
3,831,0.4008918628686366
3,836,0.4629100498862758
3,932,0.40406101782088427
3,933,0.4008918628686366
4,230,0.4803844614152615
5,3,0.40406101782088427
5,25,0.3779644730092272
5,34,0.3779644730092272
5,104,0.3779644730092272
5,320,0.4008918628686365
5,933,0.3779644730092272
6,383,0.42640143271122083
7,818,0.4082482904638631
8,32,0.39605901719066977
8,383,0.5773502691896258
8,545,0.4082482904638631
8,660,0.4082482904638631
9,23,0.39999999999999997
9,52,0.4472135954999579
9,69,0.5163977794943223
9,76,0.39999999999999997
9,545,0.4472135954999579
9,639,0.44721359549995787
9,686,0.40451991747794525
9,687,0.4242640687119285
9,688,0.40451991747794525
9,690,0.40451991747794525
9,692,0.7302967433402215
9,726,0.39999999999999997
9,750,0.39999999999999997
9,915,0.4472135954999579
10,1,0.40451991747794525
10,93,0.40451991747794525
10,331,0.45226701686664544
10,374,0.42640143271122083
10,405,0.42640143271122083
10,407,0.40451991747794525
10,930,0.40451991747794525
11,334,0.4082482904638631
11,491,0.3872983346207417
11,492,0.3872983346207417
11,681,0.4082482904638631
11,860,0.5
13,14,0.4303314829119351
13,471,0.4216370213557839
13,495,0.4879500364742665
14,1,0.44721359549995787
14,2,0.5443310539518174
14,13,0.4303314829119351
14,29,0.408248290463863
14,30,0.44721359549995787
14,65,0.48686449556014766
14,92,0.408248290463863
14,99,0.3849001794597505
14,320,0.4714045207910316
